,Title,Title_URL,Description,username,tweet_time,tweet_time_fetched,before_kword,comments_fetched,retweet_fetched,like_fetched,view_link,view_fetched
0,,,,,,,,26.5,113.0,,,
1,,,,,,,,26.5,113.0,,,
2,Spotify,,,@Spotify,,,,26.5,113.0,,,
3,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
4,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
5,,,,,,,,26.5,113.0,,,
6,,,,,,,,26.5,113.0,,,
7,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
8,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
9,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
10,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
11,,,,,,,,26.5,113.0,,,
